AMAZON,MICROSOFT,FDX,Netflix
10.69250011,23.61981583,75.2615509,9.994285583
10.90550041,24.00715256,76.70361328,10.2485714
10.76650047,24.01522636,76.83631134,9.672857285
10.86400032,23.49069977,78.5083847,10.27285671
10.76200008,23.45841789,79.64082336,10.03857136
10.64449978,23.45034599,78.98612213,10.03142929
10.73750019,23.85383034,80.49015045,9.920000076
10.46150017,23.67630005,78.67651367,9.619999886
10.64550018,23.55525398,78.86227417,9.062856674
10.41100025,22.95810318,75.42076111,8.992856979
10.72850037,23.0388031,75.3765564,9.285714149
10.66049957,23.00652122,74.61573029,9.261428833
10.88199997,23.68437004,76.81861877,9.411429405
10.93999958,23.58753395,76.17279816,9.234286308
10.92399979,23.92645264,77.47328949,9.377142906
10.82499981,23.32123566,76.33203888,9
10.8210001,23.635952,77.57948303,9.002857208
10.73649979,23.50683594,76.25241089,8.97571373
10.72249985,23.67630005,76.95246887,8.951429367
10.91749954,24.22503853,77.65251923,9.398571014
11.13300037,24.07978058,78.43231201,9.532856941
11.20149994,24.77377319,80.64767456,9.97571373
11.15100002,24.95937347,80.94007874,9.737142563
11.0284996,24.32187462,80.31092834,9.405714035
11.1079998,24.77377319,80.23118591,9.694286346
11.00349998,24.10398674,78.69814301,9.575714111
11.28050041,24.22503853,77.58163452,9.54285717
11.28100014,24.34608078,77.89177704,9.498571396
11.06550026,24.13626862,78.68043518,9.622857094
11.41749954,24.6850071,81.17933655,9.784285545
11.4659996,24.66079903,81.11730957,9.692856789
11.47649956,24.82219124,82.05664063,10.29142857
11.35299969,24.77377319,81.62242889,11.67428589
11.25249958,24.36221695,80.88694,11.69857121
11.25249958,24.20889473,80.75400543,11.85571384
10.97500038,23.99908447,80.17803192,11.46142864
10.91849995,23.64401817,80.29322052,11.66285706
10.76799965,23.10335541,79.3095932,12.13857079
10.91950035,23.7166481,81.83509064,12.12857056
10.80049992,23.75699234,81.45405579,11.85428619
10.8465004,23.93452072,80.8603363,11.68285656
10.87349987,24.57202911,82.1629715,11.60999966
11.30850029,24.74956512,82.22498322,11.8742857
11.41450024,24.30572891,79.82356262,11.68857098
11.30049992,23.62788391,79.09696198,11.42000008
11.15200043,23.52297783,77.68795013,11.48428631
10.85249996,23.26474571,77.29805756,8.611429214
11.00049973,23.53104019,78.46776581,8.144286156
11.86600018,24.01522636,80.54132843,8.417142868
11.80449963,23.91838455,80.62995148,8.25
11.66499996,23.78120041,80.01850891,8.121429443
11.60449982,23.73278618,78.73358917,7.785714149
11.54049969,23.55525398,77.90950775,7.695713997
11.74849987,24.00715256,79.59315491,7.70142889
11.69950008,24.16854668,79.85900879,8.112856865
11.82800007,24.41870499,79.59315491,8.271429062
11.71899986,24.47519493,79.14121246,8.257143021
11.70300007,24.61237526,78.56524658,8.272856712
11.63749981,24.54781723,77.80316925,8.557143211
11.62199974,24.52361107,77.77658081,8.558570862
11.65950012,24.47486877,77.60821533,8.822856903
11.87100029,24.53173256,79.35391235,9.037142754
12.07750034,25.00287247,79.52226257,9.187143326
12.05850029,25.10035324,79.7526474,9.098570824
12.01749992,24.97037697,79.73493958,9.177143097
11.97249985,25.01911545,80.02737427,9.371429443
12.15499973,24.80791473,79.34505463,9.342857361
12.06000042,24.58047295,78.74247742,9.149999619
12.2869997,24.82416916,78.92855835,9.022856712
12.1960001,24.92976379,77.9803772,8.912857056
12.30550003,24.88102341,77.50185394,8.992856979
12.35599995,24.89727211,77.65251923,9.062856674
12.31099987,24.62921524,77.26263428,8.640000343
12.41349983,25.03536224,77.65251923,8.531429291
12.39400005,24.68607521,77.57276154,7.989999771
12.31099987,24.68607521,76.0308609,7.851428986
12.56900024,25.46588135,77.69953156,8.092857361
12.95699978,25.1409626,77.55750275,8.094285965
12.85449982,24.95413208,78.07231903,7.988571167
12.78349972,25.01099777,78.72915649,8.165714264
12.78149986,25.00287247,79.06645203,8.172857285
13.01200008,25.13284683,80.20256042,8.285714149
13.0635004,25.35216713,80.01615143,8.645713806
12.89999962,25.35216713,79.24391937,8.145713806
12.9375,25.32780457,76.8208313,8.008570671
13.08399963,25.22219276,77.13148499,8.148571014
13.04049969,25.54711914,75.59596252,8.391428947
12.87349987,25.33592224,74.90364075,8.255714417
12.73999977,25.00287247,75.58709717,8.055713654
12.62300014,24.68607521,75.03678894,7.685713768
12.48349953,24.50736618,74.90364075,7.875713825
12.8295002,24.4992466,76.12850952,7.935713768
12.7159996,24.17432022,75.10777283,7.777143002
12.60050011,23.95499611,75.46281433,8.007143021
12.52999973,24.09308052,75.00125122,8.065713882
12.79599953,24.25555801,75.99534607,8.93999958
13.02350044,24.39364052,76.80308533,9.52428627
12.92549992,24.24742317,76.74983215,9.508570671
12.95300007,24.19055939,76.66107941,10.50285721
12.54800034,23.78440666,75.95988464,9.361429214
12.24950027,23.54071808,79.87416077,9.357143402
12.21100044,23.51634598,79.88301849,9.425713539
12.11800003,23.7194252,80.23803711,9.18999958
12.20899963,23.97124481,80.45994568,9.251428604
12.19699955,23.95499611,81.58718109,9.435713768
12.37450027,24.03622437,82.50138855,9.788571358
12.24250031,23.96310997,82.98069,9.622857094
12,23.26453209,81.75582886,9.282856941
11.68900013,22.74465561,81.19662476,9.697142601
11.71549988,22.78527069,81.47180939,9.745714188
11.42450047,22.66342354,80.61969757,8.588570595
11.14599991,22.64717102,80.87709808,8.787142754
11.9119997,22.91523552,80.49545288,9.93999958
11.64449978,23.18330002,81.64929962,11.31999969
11.60700035,23.97936058,82.55467224,11.09857082
11.62100029,23.96310997,82.22624207,10.98571396
11.71650028,24.06871986,82.40375519,11.1771431
11.87800026,24.25555801,82.89192963,10.90999985
11.60299969,23.62195015,81.2232666,11.09714317
11.36750031,23.40262222,79.90964508,10.85285664
11.31550026,23.41886902,79.64337921,11.12857056
11.32349968,22.92336273,79.95405579,11.17000008
11.32999992,22.1862793,80.29129791,11.37285709
11.14750004,21.98152733,77.3267746,11.39714336
11.02999973,21.83411789,76.81197357,11.64000034
11.26150036,21.71945763,76.44804382,11.55714321
11.48550034,21.89144516,77.34597015,11.62285709
11.68900013,21.87506485,77.65712738,11.77142906
11.90149975,22.07162094,77.92385101,11.8571434
11.99400043,22.68585968,77.99497986,11.85000038
12.18099976,22.43196487,78.64398193,11.72285748
12.17000008,22.17808342,78.85733795,11.86857128
12.35550022,22.40740204,79.55966187,11.74714279
12.5635004,22.07162094,80.72427368,11.6257143
12.60249996,21.80135345,79.5952301,11.67285728
12.51650047,21.64575005,78.35057068,10.8571434
12.62450027,21.5966053,78.58174133,12.37857056
12.69799995,21.84230232,79.50634003,11.90999985
12.66849995,21.89144516,79.35520935,12.31000042
12.66349983,21.67031097,79.44409943,12.28285694
12.38850021,22.06342697,80.48426819,12.11428642
12.53450012,22.37464142,80.2353363,12.29714298
12.5880003,22.30912209,79.75525665,12.96142864
12.5625,22.20265198,79.75525665,13.22285748
12.45950031,21.95696068,80.09310913,13.32857132
12.69299984,22.19446945,80.91986847,13.52857113
13.02000046,22.57120323,82.11122131,13.66285706
12.89949989,22.36645508,82.85798645,13.42571354
13.07499981,22.66947746,82.92021179,13.3571434
12.84599972,22.48110962,82.44902802,13.04857063
12.93099976,22.16170692,81.91561127,12.89000034
12.43150043,21.99791145,81.85335541,12.94999981
12.41549969,22.079813,81.34661865,12.92857075
12.25899982,21.74402618,80.35978699,12.76142883
12.54349995,21.87506485,81.54219818,13.22714329
12.86550045,22.62034416,83.79147339,13.14428616
12.92399979,22.31731415,84.10260773,13.79857063
12.95750046,21.89962769,84.37821198,13.71142864
13.42300034,21.85868645,84.20931244,14.17142868
13.31900024,21.74402618,84.5560379,13.88000011
13.31750011,21.86687088,86.03186035,13.70142937
13.2670002,21.67031097,86.85861969,14
13.39700031,21.97333908,86.59194946,14.47000027
13.63650036,22.02247429,87.49872589,14.77857113
13.59500027,22.28455162,87.7210083,14.52714252
13.44649982,22.14533424,88.49445343,13.92571354
13.52400017,22.31731415,88.84117889,13.95714283
13.60599995,22.31731415,88.7434082,14.16714287
13.50949955,22.23541069,89.43683624,13.97285748
13.40550041,22.61214828,88.58339691,14.7514286
13.67300034,22.62852669,90.44143677,20.97999954
14.19950008,22.83327293,91.18824768,24.22285652
13.80200005,22.85783195,91.57941437,23.15857124
13.01749992,22.93974113,91.12599945,24.15999985
13.63799953,22.80870819,90.12138367,23.95714378
13.27499962,22.48110962,90.19251251,23.6057148
13.25,22.87422371,91.35713959,23.54285622
12.9989996,22.47292137,91.91723633,24.96285629
13.34449959,22.52206421,93.41085052,24.91285706
